ID,Name,Platform,Platform_Group,Publisher,Genre,Year_of_Release,NA_players,EU_players,JP_players,Other_players,Num_Nodes,Global_players,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
111,Mario Kart 8,WiiU,,Nintendo,Racing,2014,3.15,2.15,1.28,0.51,,7.09,88,82,9.1,1599,Nintendo,E
112,Super Smash Bros. Melee,GC,,Nintendo,Fighting,2001,4.41,1.04,1.39,0.22,,7.07,92,38,9.1,568,HAL Labs,T
113,Mario Kart: Double Dash!!,GC,,Nintendo,Racing,2003,4.12,1.77,0.87,0.19,,6.95,,,,,,
114,Need for Speed Underground 2,PS2,,Electronic Arts,Racing,2004,2.71,3.02,0.08,1.09,,6.9,82,39,8.6,132,EA Canada,E
115,Medal of Honor: Frontline,PS2,,Electronic Arts,Shooter,2002,2.93,2.75,0.17,0.99,,6.83,88,29,8.5,135,EA LA,T
116,Crash Bandicoot,PS,,Sony Computer Entertainment,Platform,1996,3.23,2.35,0.94,0.3,,6.82,,,,,,
117,Just Dance 4,Wii,,Ubisoft,Misc,2012,4.05,2.16,0,0.55,,6.76,74,10,7.3,28,Ubisoft,E10+
118,Gears of War 2,X360,,Microsoft Game Studios,Shooter,2008,4.15,1.9,0.06,0.64,,6.75,93,90,7.7,2739,Epic Games,M
119,Uncharted 3: Drake's Deception,PS3,,Sony Computer Entertainment,Action,2011,2.77,2.75,0.19,1.03,,6.74,92,97,8.3,3712,Naughty Dog,T
120,Zumba Fitness,Wii,,505 Games,Sports,2010,3.45,2.59,0,0.66,,6.71,,,,,"Pipeworks Software, Inc.",E
121,Call of Duty 4: Modern Warfare,PS3,,Activision,Shooter,2007,3.11,2.26,0.28,1.03,,6.68,94,44,8.4,993,Infinity Ward,M
122,Uncharted 2: Among Thieves,PS3,,Sony Computer Entertainment,Action,2009,3.27,2.2,0.21,0.98,,6.66,96,105,8.8,5187,Naughty Dog,T
123,FIFA 12,PS3,,Electronic Arts,Sports,2011,0.84,4.3,0.11,1.39,,6.65,,,,,,
124,Big Brain Academy,DS,,Nintendo,Misc,2005,1.66,2.75,1.6,0.62,,6.62,74,45,7.4,27,Nintendo,E
125,The Legend of Zelda,NES,,Nintendo,Action,1986,3.74,0.93,1.69,0.14,,6.51,,,,,,
126,Red Dead Redemption,PS3,,Take-Two Interactive,Action,2010,2.79,2.53,0.17,0.99,,6.49,95,73,8.8,2456,Rockstar San Diego,M
127,FIFA 14,PS3,,Electronic Arts,Sports,2013,0.78,4.24,0.07,1.37,,6.47,86,37,4.3,576,EA Canada,E
128,Assassin's Creed III,PS3,,Ubisoft,Action,2012,2.64,2.52,0.16,1.12,,6.45,85,41,6.9,1307,Ubisoft,M
129,Donkey Kong Country Returns,Wii,,Nintendo,Platform,2010,3.17,1.79,1.03,0.46,,6.44,87,77,8.6,368,Retro Studios,E
130,Halo: Combat Evolved,XB,,Microsoft Game Studios,Shooter,2001,4.98,1.3,0.08,0.07,,6.43,97,68,8.6,1283,Bungie Software,M
131,The Elder Scrolls V: Skyrim,PS3,,Bethesda Softworks,Role-Playing,2011,2.55,2.6,0.25,1,,6.41,92,16,6.4,2527,Bethesda Game Studios,M
132,Pokémon Emerald Version,GBA,,Nintendo,Role-Playing,2004,2.57,1.58,2.06,0.21,,6.41,76,28,9,222,Game Freak,E
133,Kingdom Hearts,PS2,,Sony Computer Entertainment,Role-Playing,2002,3.64,1.2,1.49,0.07,,6.4,85,46,8.8,597,SquareSoft,E
134,Pokémon Crystal Version,GB,,Nintendo,Role-Playing,2000,2.55,1.56,1.29,0.99,,6.39,,,,,,
135,Halo 3: ODST,X360,,Microsoft Game Studios,Shooter,2009,4.34,1.34,0.06,0.61,,6.34,83,94,7.1,1163,"Bungie Software, Bungie",M
136,Red Dead Redemption,X360,,Take-Two Interactive,Action,2010,3.7,1.95,0.09,0.58,,6.32,95,96,9,2316,Rockstar San Diego,M
137,Super Mario Sunshine,GC,,Nintendo,Platform,2002,4.01,1.26,0.87,0.17,,6.31,92,61,8.6,439,Nintendo,E
138,Street Fighter II: The World Warrior,SNES,,Capcom,Fighting,1992,2.47,0.83,2.87,0.12,,6.3,,,,,,
139,World of Warcraft,PC,,Activision,Role-Playing,2004,0.08,6.21,0,0,,6.29,93,57,7.3,2182,Blizzard Entertainment,T
140,Driver,PS,,GT Interactive,Action,1999,3.11,2.8,0.02,0.33,,6.27,87,22,8.1,78,Reflections Interactive,T
141,Gears of War 3,X360,,Microsoft Game Studios,Shooter,2011,4.05,1.59,0.07,0.5,,6.21,91,96,7.8,1504,Epic Games,M
142,Kinect Sports,X360,,Microsoft Game Studios,Sports,2010,3.92,1.73,0.03,0.51,,6.19,73,51,7.4,95,Rare Ltd.,E10+
143,Gears of War,X360,,Microsoft Game Studios,Shooter,2006,3.54,1.88,0.07,0.6,,6.09,94,88,8.3,2295,Epic Games,M
144,FIFA 15,PS4,,Electronic Arts,Sports,2014,0.8,4.33,0.05,0.9,,6.08,82,47,5.7,988,EA Sports,E
145,Metal Gear Solid 2: Sons of Liberty,PS2,,Konami Digital Entertainment,Action,2001,2.45,2.01,0.87,0.72,,6.05,96,42,8.7,1026,KCEJ,M
146,Sonic the Hedgehog 2,GEN,,Sega,Platform,1992,4.47,1.2,0.16,0.19,,6.03,,,,,,
147,Metal Gear Solid,PS,,Konami Digital Entertainment,Action,1998,3.18,1.83,0.78,0.24,,6.03,94,20,9.4,918,KCEJ,M
148,Metal Gear Solid 4: Guns of the Patriots,PS3,,Konami Digital Entertainment,Action,2008,2.63,1.71,0.83,0.82,,5.99,94,82,8.7,3558,Kojima Productions,M
